id,word,annotator_segmentation,uncertain,annotator_notes
W001,menambah,,,
W002,kekuatan,,,
W003,layanan,,,
W004,menjadi,,,
W005,kekeringan,,,
W006,pagaruyung,,,
W007,pukul,,,
W008,ingin,,,
W009,artikel,,,
W010,bachtiar,,,
W011,samarinda,,,
W012,isu-isu,,,
W013,said,,,
W014,tanggal,,,
W015,berbatasan,,,
W016,prabowo,,,
W017,biola,,,
W018,beriklim,,,
W019,memakan,,,
W020,kabinet,,,
W021,australasia,,,
W022,soewardi,,,
W023,meninggalkan,,,
W024,memisahkan,,,
W025,agoes,,,
W026,hayati,,,
W027,soegondo,,,
W028,utara,,,
W029,wilayah-wilayah,,,
W030,merasa,,,
W031,sebagai,,,
W032,membantu,,,
W033,suara,,,
W034,oposisi,,,
W035,terminal,,,
W036,ditandatangani,,,
W037,kerajaan-kerajaan,,,
W038,daripada,,,
W039,maas,,,
W040,rerata,,,
W041,resmi,,,
W042,memproyeksikan,,,
W043,berbunga,,,
W044,koloninya,,,
W045,disebut,,,
W046,gabungan,,,
W047,vegetasi,,,
W048,penghasilan,,,
W049,ris,,,
W050,pengeboman,,,
W051,soeroto,,,
W052,bersatu,,,
W053,nya,,,
W054,hari,,,
W055,kehilangan,,,
W056,tni,,,
W057,terjadinya,,,
W058,kemanusiaan,,,
W059,kedatuan,,,
W060,tua,,,
W061,nederlandsch,,,
W062,dpd,,,
W063,besok,,,
W064,kelembapan,,,
W065,berkuasa,,,
W066,separatis,,,
W067,sela-sela,,,
W068,pemilihan,,,
W069,kemaharajaan,,,
W070,melanggar,,,
W071,aset-asetnya,,,
W072,stasiun,,,
W073,leste,,,
W074,sama-sama,,,
W075,kristen,,,
W076,sulit,,,
W077,jambi,,,
W078,aman,,,
W079,terkaya,,,
W080,pertahanan,,,
W081,berdorongan,,,
W082,kerabat,,,
W083,palembang,,,
W084,tempat,,,
W085,pax,,,
W086,buru,,,
W087,setahun,,,
W088,baru,,,
W089,salatiga,,,
W090,berpusat,,,
W091,sejati,,,
W092,alot,,,
W093,dia,,,
W094,kolaka,,,
W095,kurangnya,,,
W096,baik,,,
W097,pergolakan,,,
W098,pergerakan,,,
W099,mengembangkan,,,
W100,nazi,,,
W101,berisi,,,
W102,kendaraan,,,
W103,gerakan,,,
W104,perantauan,,,
W105,sufi,,,
W106,ken,,,
W107,jabatan,,,
W108,pertemuan,,,
W109,memulihkan,,,
W110,raka,,,
W111,banyaknya,,,
W112,mendatangkan,,,
W113,des,,,
W114,berlebih,,,
W115,memulai,,,
W116,conrad,,,
W117,ditunda,,,
W118,dipercaya,,,
W119,paser,,,
W120,warga,,,
W121,strategi,,,
W122,tekanan,,,
W123,arok,,,
W124,mengenai,,,
W125,kota,,,
W126,sinonim,,,
W127,darussalam,,,
W128,tubuh,,,
W129,para,,,
W130,rel,,,
W131,transit,,,
W132,borobudur,,,
W133,tektonik,,,
W134,mencerdaskan,,,
W135,peringatan,,,
W136,rekan,,,
W137,rombongan,,,
W138,kajian,,,
W139,ditulisnya,,,
W140,menantu,,,
W141,berlawanan,,,
W142,stamford,,,
W143,sjarifoeddin,,,
W144,kayu,,,
W145,proklamasi,,,
W146,kejayaan,,,
W147,federasi,,,
W148,light,,,
W149,bungurasih,,,
W150,dengan,,,
W151,nbsp,,,
W152,jam,,,
W153,riau,,,
W154,berlanjut,,,
W155,kalah,,,
W156,frekuensi,,,
W157,yang,,,
W158,archipel,,,
W159,lydekker,,,
W160,jatuh,,,
W161,ori,,,
W162,nusantara,,,
W163,menyumbang,,,
W164,melaksanakan,,,
W165,dibuktikan,,,
W166,keamanan,,,
W167,bonaparte,,,
W168,separatisme,,,
W169,artsen,,,
W170,subkala,,,
W171,pbb,,,
W172,sembilan,,,
W173,memberikan,,,
W174,akrab,,,
W175,wewenang,,,
W176,kapuas,,,
W177,dilarang,,,
W178,bulan,,,
W179,kelapa,,,
W180,mahkamah,,,
W181,berkisar,,,
W182,ketimpangan,,,
W183,serta,,,
W184,dagang,,,
W185,peti-peti,,,
W186,mempunyai,,,
W187,anggotanya,,,
W188,legislatif,,,
W189,dinamakan,,,
W190,titik,,,
W191,kesulitan,,,
W192,melalui,,,
W193,trans-sumatra,,,
W194,listrik,,,
W195,diperintah,,,
W196,suhu,,,
W197,tektonis,,,
W198,memperoleh,,,
W199,kabupaten,,,
W200,rajasa,,,
