word,gold_segmentation,category,subcategory,confidence,morphemes,notes,validated,system_prediction,agrees
menulis,menulis,prefix_meN,,medium,[],,False,,
membaca,membaca,prefix_meN,,medium,[],,False,,
mengajar,mengajar,prefix_meN,,medium,[],,False,,
menyanyi,menyanyi,prefix_meN,,medium,[],,False,,
mengecat,mengecat,prefix_meN,,medium,[],,False,,
melepas,melepas,prefix_meN,,medium,[],,False,,
menanam,menanam,prefix_meN,,medium,[],,False,,
memasak,memasak,prefix_meN,,medium,[],,False,,
menggambar,menggambar,prefix_meN,,medium,[],,False,,
menyapu,menyapu,prefix_meN,,medium,[],,False,,
mengetik,mengetik,prefix_meN,,medium,[],,False,,
melompat,melompat,prefix_meN,,medium,[],,False,,
menari,menari,prefix_meN,,medium,[],,False,,
memotong,memotong,prefix_meN,,medium,[],,False,,
mengirim,mengirim,prefix_meN,,medium,[],,False,,
menyebut,menyebut,prefix_meN,,medium,[],,False,,
mengejar,mengejar,prefix_meN,,medium,[],,False,,
melukis,melukis,prefix_meN,,medium,[],,False,,
menangkap,menangkap,prefix_meN,,medium,[],,False,,
bermain,bermain,prefix_ber,,medium,[],,False,,
berjalan,berjalan,prefix_ber,,medium,[],,False,,
berlari,berlari,prefix_ber,,medium,[],,False,,
berbicara,berbicara,prefix_ber,,medium,[],,False,,
berdiri,berdiri,prefix_ber,,medium,[],,False,,
berhenti,berhenti,prefix_ber,,medium,[],,False,,
berpikir,berpikir,prefix_ber,,medium,[],,False,,
berkata,berkata,prefix_ber,,medium,[],,False,,
berangkat,berangkat,prefix_ber,,medium,[],,False,,
berubah,berubah,prefix_ber,,medium,[],,False,,
berhitung,berhitung,prefix_ber,,medium,[],,False,,
bernyanyi,bernyanyi,prefix_ber,,medium,[],,False,,
berdansa,berdansa,prefix_ber,,medium,[],,False,,
berolahraga,berolahraga,prefix_ber,,medium,[],,False,,
terbang,terbang,prefix_ter,,medium,[],,False,,
tertawa,tertawa,prefix_ter,,medium,[],,False,,
terima,terima,prefix_ter,,medium,[],,False,,
terang,terang,prefix_ter,,medium,[],,False,,
terus,terus,prefix_ter,,medium,[],,False,,
terakhir,terakhir,prefix_ter,,medium,[],,False,,
terbuka,terbuka,prefix_ter,,medium,[],,False,,
tertutup,tertutup,prefix_ter,,medium,[],,False,,
terlalu,terlalu,prefix_ter,,medium,[],,False,,
dimakan,dimakan,prefix_di,,medium,[],,False,,
dibaca,dibaca,prefix_di,,medium,[],,False,,
ditulis,ditulis,prefix_di,,medium,[],,False,,
dibuka,dibuka,prefix_di,,medium,[],,False,,
ditutup,ditutup,prefix_di,,medium,[],,False,,
dibeli,dibeli,prefix_di,,medium,[],,False,,
dijual,dijual,prefix_di,,medium,[],,False,,
dibawa,dibawa,prefix_di,,medium,[],,False,,
dikirim,dikirim,prefix_di,,medium,[],,False,,
makanan,makanan,suffix_kan,,medium,[],,False,,
minuman,minuman,suffix_kan,,medium,[],,False,,
bacakan,bacakan,suffix_kan,,medium,[],,False,,
tuliskan,tuliskan,suffix_kan,,medium,[],,False,,
dengarkan,dengarkan,suffix_kan,,medium,[],,False,,
lihatkan,lihatkan,suffix_kan,,medium,[],,False,,
belikan,belikan,suffix_kan,,medium,[],,False,,
jualkan,jualkan,suffix_kan,,medium,[],,False,,
kirimkan,kirimkan,suffix_kan,,medium,[],,False,,
terimakan,terimakan,suffix_kan,,medium,[],,False,,
berikan,berikan,suffix_kan,,medium,[],,False,,
ambilkan,ambilkan,suffix_kan,,medium,[],,False,,
bawakan,bawakan,suffix_kan,,medium,[],,False,,
taruhkan,taruhkan,suffix_kan,,medium,[],,False,,
simpanan,simpanan,suffix_kan,,medium,[],,False,,
bukakan,bukakan,suffix_kan,,medium,[],,False,,
tutupkan,tutupkan,suffix_kan,,medium,[],,False,,
masukkan,masukkan,suffix_kan,,medium,[],,False,,
keluarkan,keluarkan,suffix_kan,,medium,[],,False,,
rumahi,rumahi,suffix_i,,medium,[],,False,,
bukui,bukui,suffix_i,,medium,[],,False,,
mejai,mejai,suffix_i,,medium,[],,False,,
kursii,kursii,suffix_i,,medium,[],,False,,
pintui,pintui,suffix_i,,medium,[],,False,,
