word,gold_segmentation,category,subcategory,confidence,morphemes,notes,validated,system_prediction,agrees
menulis,meN~tulis,prefix_meN,,medium,[],,False,,
membaca,meN~baca,prefix_meN,,medium,[],,False,,
mengajar,meN~ajar,prefix_meN,,medium,[],,False,,
menyanyi,meN~nyanyi,prefix_meN,,medium,[],,False,,
mengecat,meN~cat,prefix_meN,,medium,[],,False,,
melepas,meN~lepas,prefix_meN,,medium,[],,False,,
menanam,meN~tanam,prefix_meN,,medium,[],,False,,
memasak,meN~masak,prefix_meN,,medium,[],,False,,
menggambar,meN~gambar,prefix_meN,,medium,[],,False,,
menyapu,meN~sapu,prefix_meN,,medium,[],,False,,
mengetik,meN~ketik,prefix_meN,,medium,[],,False,,
melompat,meN~lompat,prefix_meN,,medium,[],,False,,
menari,meN~tari,prefix_meN,,medium,[],,False,,
memotong,meN~potong,prefix_meN,,medium,[],,False,,
mengirim,meN~kirim,prefix_meN,,medium,[],,False,,
menyebut,meN~sebut,prefix_meN,,medium,[],,False,,
mengejar,meN~kejar,prefix_meN,,medium,[],,False,,
melukis,meN~lukis,prefix_meN,,medium,[],,False,,
menangkap,meN~tangkap,prefix_meN,,medium,[],,False,,
bermain,ber~main,prefix_ber,,medium,[],,False,,
berjalan,ber~jalan,prefix_ber,,medium,[],,False,,
berlari,ber~lari,prefix_ber,,medium,[],,False,,
berbicara,ber~bicara,prefix_ber,,medium,[],,False,,
berdiri,ber~diri,prefix_ber,,medium,[],,False,,
berhenti,ber~henti,prefix_ber,,medium,[],,False,,
berpikir,ber~pikir,prefix_ber,,medium,[],,False,,
berkata,ber~kata,prefix_ber,,medium,[],,False,,
berangkat,ber~angkat,prefix_ber,,medium,[],,False,,
berubah,ber~ubah,prefix_ber,,medium,[],,False,,
berhitung,ber~hitung,prefix_ber,,medium,[],,False,,
bernyanyi,ber~nyanyi,prefix_ber,,medium,[],,False,,
berdansa,ber~dansa,prefix_ber,,medium,[],,False,,
berolahraga,ber~olahraga,prefix_ber,,medium,[],,False,,
terbang,ter~bang,prefix_ter,,medium,[],,False,,
tertawa,ter~tawa,prefix_ter,,medium,[],,False,,
terima,terima,prefix_ter,,medium,[],,False,,
terang,terang,prefix_ter,,medium,[],,False,,
terus,terus,prefix_ter,,medium,[],,False,,
terakhir,ter~akhir,prefix_ter,,medium,[],,False,,
terbuka,ter~buka,prefix_ter,,medium,[],,False,,
tertutup,ter~tutup,prefix_ter,,medium,[],,False,,
terlalu,ter~lalu,prefix_ter,,medium,[],,False,,
dimakan,di~makan,prefix_di,,medium,[],,False,,
dibaca,di~baca,prefix_di,,medium,[],,False,,
ditulis,di~tulis,prefix_di,,medium,[],,False,,
dibuka,di~buka,prefix_di,,medium,[],,False,,
ditutup,di~tutup,prefix_di,,medium,[],,False,,
dibeli,di~beli,prefix_di,,medium,[],,False,,
dijual,di~jual,prefix_di,,medium,[],,False,,
dibawa,di~bawa,prefix_di,,medium,[],,False,,
dikirim,di~kirim,prefix_di,,medium,[],,False,,
makanan,makan~an,suffix_kan,,medium,[],,False,,
minuman,minum~an,suffix_kan,,medium,[],,False,,
bacakan,baca~kan,suffix_kan,,medium,[],,False,,
tuliskan,tulis~kan,suffix_kan,,medium,[],,False,,
dengarkan,dengar~kan,suffix_kan,,medium,[],,False,,
lihatkan,lihat~kan,suffix_kan,,medium,[],,False,,
belikan,beli~kan,suffix_kan,,medium,[],,False,,
jualkan,jual~kan,suffix_kan,,medium,[],,False,,
kirimkan,kirim~kan,suffix_kan,,medium,[],,False,,
terimakan,terima~kan,suffix_kan,,medium,[],,False,,
berikan,beri~kan,suffix_kan,,medium,[],,False,,
ambilkan,ambil~kan,suffix_kan,,medium,[],,False,,
bawakan,bawa~kan,suffix_kan,,medium,[],,False,,
taruhkan,taruh~kan,suffix_kan,,medium,[],,False,,
simpanan,simpan~an,suffix_kan,,medium,[],,False,,
bukakan,buka~kan,suffix_kan,,medium,[],,False,,
tutupkan,tutup~kan,suffix_kan,,medium,[],,False,,
masukkan,meN~masuk~kan,suffix_kan,,medium,[],,False,,
keluarkan,keluar~kan,suffix_kan,,medium,[],,False,,
rumahi,rumah~i,suffix_i,,medium,[],,False,,
bukui,buku~i,suffix_i,,medium,[],,False,,
mejai,meN~jadi~i,suffix_i,,medium,[],,False,,
kursii,kursi~i,suffix_i,,medium,[],,False,,
pintui,pintu~i,suffix_i,,medium,[],,False,,
jendelai,jendela~i,suffix_i,,medium,[],,False,,
lantaii,lantai~i,suffix_i,,medium,[],,False,,
dindingi,dinding~i,suffix_i,,medium,[],,False,,
atapi,tapi~a,suffix_i,,medium,[],,False,,
tanami,tana~i,suffix_i,,medium,[],,False,,
sirami,siram~i,suffix_i,,medium,[],,False,,
pupuki,pupuk~i,suffix_i,,medium,[],,False,,
potongi,potong~i,suffix_i,,medium,[],,False,,
jahiti,jahit~i,suffix_i,,medium,[],,False,,
mainan,main~an,suffix_an,,medium,[],,False,,
makanan,makan~an,suffix_an,,medium,[],,False,,
minuman,minum~an,suffix_an,,medium,[],,False,,
pakaian,pakaian,suffix_an,,medium,[],,False,,
tulisan,tulis~an,suffix_an,,medium,[],,False,,
bacaan,baca~an,suffix_an,,medium,[],,False,,
ajaran,ajar~an,suffix_an,,medium,[],,False,,
kiriman,kirim~an,suffix_an,,medium,[],,False,,
pandangan,pandang~an,suffix_an,,medium,[],,False,,
pendengaran,peN~dengar~an,suffix_an,,medium,[],,False,,
permainan,per~main~an,suffix_an,,medium,[],,False,,
perjalanan,per~jalan~an,suffix_an,,medium,[],,False,,
perkataan,per~kata~an,suffix_an,,medium,[],,False,,
pertanyaan,per~tanya~an,suffix_an,,medium,[],,False,,
perasaan,per~rasa~an,suffix_an,,medium,[],,False,,
penglihatan,peN~lihat~an,suffix_an,,medium,[],,False,,
pengetahuan,peN~tahu~an,suffix_an,,medium,[],,False,,
pendidikan,peN~didik~an,suffix_an,,medium,[],,False,,
pembelajaran,peN~ajar~an,suffix_an,,medium,[],,False,,
kebiasaan,ke~biasa~an,confix_ke_an,,medium,[],,False,,
kebersihan,ke~bersih~an,confix_ke_an,,medium,[],,False,,
kecantikan,ke~cantik~an,confix_ke_an,,medium,[],,False,,
kecelakaan,ke~celaka~an,confix_ke_an,,medium,[],,False,,
kecerdasan,ke~cerdas~an,confix_ke_an,,medium,[],,False,,
kecintaan,ke~cinta~an,confix_ke_an,,medium,[],,False,,
kecurian,ke~curi~an,confix_ke_an,,medium,[],,False,,
kedamaian,ke~damai~an,confix_ke_an,,medium,[],,False,,
kedatangan,ke~datang~an,confix_ke_an,,medium,[],,False,,
kedinginan,ke~dingin~an,confix_ke_an,,medium,[],,False,,
kegagalan,ke~gagal~an,confix_ke_an,,medium,[],,False,,
kegelapan,ke~gelap~an,confix_ke_an,,medium,[],,False,,
kegembiraan,ke~gembira~an,confix_ke_an,,medium,[],,False,,
kehangatan,ke~hangat~an,confix_ke_an,,medium,[],,False,,
permainan,per~main~an,confix_per_an,,medium,[],,False,,
perjalanan,per~jalan~an,confix_per_an,,medium,[],,False,,
perkataan,per~kata~an,confix_per_an,,medium,[],,False,,
perubahan,per~ubah~an,confix_per_an,,medium,[],,False,,
pertanyaan,per~tanya~an,confix_per_an,,medium,[],,False,,
perhiasan,per~hias~an,confix_per_an,,medium,[],,False,,
perlawanan,per~lawan~an,confix_per_an,,medium,[],,False,,
peraturan,per~atur~an,confix_per_an,,medium,[],,False,,
perkawinan,per~kawin~an,confix_per_an,,medium,[],,False,,
perlindungan,per~lindung~an,confix_per_an,,medium,[],,False,,
perdagangan,per~dagang~an,confix_per_an,,medium,[],,False,,
perkumpulan,per~kumpul~an,confix_per_an,,medium,[],,False,,
perbaikan,per~baik~an,confix_per_an,,medium,[],,False,,
perkebunan,per~kebun~an,confix_per_an,,medium,[],,False,,
pembukaan,peN~buka~an,confix_peN_an,,medium,[],,False,,
pengajaran,peN~ajar~an,confix_peN_an,,medium,[],,False,,
pengetahuan,peN~tahu~an,confix_peN_an,,medium,[],,False,,
pendidikan,peN~didik~an,confix_peN_an,,medium,[],,False,,
