id,word,annotator_segmentation,uncertain,annotator_notes
G001,memperpanjang,,,
G002,sirami,,,
G003,lambat-laun,,,
G004,bukankah,,,
G005,di-cancel,,,
G006,mengejar,,,
G007,ramai-ramai-ramaikan,,,
G008,pakaian,,,
G009,mempertimbangkan,,,
G010,jalan-jalan-jalan,,,
G011,nge-game,,,
G012,mendapatkan,,,
G013,kecelakaan,,,
G014,mengajarkan,,,
G015,pengawasan,,,
G016,memperkenalkan,,,
G017,perkawinan,,,
G018,mengirimmu,,,
G019,apakah,,,
G020,bacakan,,,
G021,terang,,,
G022,duduklah,,,
G023,pengetahuan,,,
G024,pintui,,,
G025,rumahi,,,
G026,menanam,,,
G027,main-mainan,,,
G028,terperhatikan,,,
G029,dijualannya,,,
G030,mobilmu,,,
G031,katakanlah,,,
G032,memberi,,,
G033,berdansa,,,
G034,pengendalian,,,
G035,panjang-lebar-lebarkan,,,
G036,sesaji,,,
G037,kehangatan,,,
G038,bernyanyi,,,
G039,mengikuti,,,
G040,berikan,,,
G041,penelitian,,,
G042,menyanyikan,,,
G043,menjadikan,,,
G044,kekasih-kesayangan,,,
G045,format-kan,,,
G046,makan-makanan,,,
G047,terang-benderang-benderangkan,,,
G048,penyempurnaan,,,
G049,kebodohanlah,,,
G050,kebersihan,,,
G051,di-retweet,,,
G052,laki-bini-binian,,,
G053,menginterpretasikan,,,
G054,pembahasan,,,
G055,menuruti,,,
G056,kecerdasan,,,
G057,terperiksa,,,
G058,ramah-tamah,,,
G059,perubahan,,,
G060,ambilkan,,,
G061,atapi,,,
G062,mengunjunginya,,,
G063,kebijaksanaanmu,,,
G064,kebahagiaanmu,,,
G065,pengangkatan,,,
G066,mendiami,,,
G067,janganlah,,,
G068,penyusupan,,,
G069,sayur-mayur,,,
G070,memperluas,,,
G071,kebiasaan,,,
G072,membuatkan,,,
G073,pengembangan,,,
G074,bermain,,,
G075,memperbaiki,,,
G076,menulis,,,
G077,mengklasifikasikan,,,
G078,rumahku,,,
G079,perkataan,,,
G080,sepatuku,,,
G081,joget-kan,,,
G082,tetua,,,
G083,tua-bangka,,,
G084,mempresentasikan,,,
G085,dengarkan,,,
G086,dibersihkannya,,,
G087,pertanyaan,,,
G088,melukis,,,
G089,guru-guru murid,,,
G090,rumahmu,,,
G091,menyempitkan,,,
G092,sesepuh,,,
G093,gerak-gerik,,,
G094,pembaruan,,,
G095,bolak-balikkan,,,
G096,perkebunan,,,
G097,diambilpun,,,
G098,meng-kritik,,,
G099,tanami,,,
G100,berjalan,,,
G101,permainan,,,
G102,potongi,,,
G103,pengembangbiakan,,,
G104,berubah,,,
G105,kekayaan,,,
G106,kesehatan,,,
G107,di-ghosting,,,
G108,mengirimkan,,,
G109,pengiriman,,,
G110,bukunya,,,
G111,tertawa,,,
G112,kebersinambungan,,,
G113,bukuku,,,
G114,alat-alatan,,,
G115,kegelapan,,,
G116,meng-google,,,
G117,menyapu,,,
